date,coordinates
20220819,"-118.115517, 51.2708"
20221010,"-115.773566, 50.1683"
20220818,"-118.06085, 50.970467"
20230324,"-121.55645, 50.140417"
20220828,"-118.10105, 49.98465"
20220819,"-118.1618, 51.277667"
20210628,"-120.761933, 51.028017"
20220809,"-121.128033, 49.03895"
20221010,"-127.3562, 54.964133"
20220704,"-129.3085, 56.209167"
20220810,"-121.9799, 50.806"
20220905,"-124.0158, 50.40325"
20220831,"-119.114633, 51.328617"
20220811,"-118.499167, 50.58075"
20220820,"-118.56295, 49.409817"
20221004,"-124.94495, 54.064283"
20220826,"-115.79475, 49.937383"
20220819,"-118.164167, 50.905183"
20220707,"-121.248833, 54.359833"
20220728,"-118.1015, 51.178217"
20221014,"-123.243167, 49.367333"
20220822,"-122.5692, 52.314667"
20220717,"-120.5085, 50.302883"
20220822,"-127.048383, 53.552133"
20220820,"-118.387, 50.849883"
20220821,"-126.833817, 54.458733"
20220825,"-120.597967, 49.80295"
20220501,"-119.9763, 51.607"
20220815,"-117.713133, 50.0142"
20220819,"-125.606867, 52.4127"
20220828,"-118.8957, 51.525383"
20220703,"-118.806567, 49.027733"
20221012,"-123.4356, 57.68285"
20220424,"-125.829633, 53.78955"
20221005,"-123.910017, 58.3698"
20220827,"-115.6975, 49.6685"
20220903,"-123.218833, 55.0925"
20220822,"-118.553217, 50.91745"
20220818,"-121.881983, 51.708017"
20220820,"-122.123433, 50.582833"
20220812,"-120.8752, 50.329367"
20220812,"-121.734167, 51.065167"
20220826,"-120.229133, 52.1653"
20220811,"-117.188033, 49.442467"
20220801,"-121.43325, 51.756117"
20220819,"-121.7542, 51.262767"
20220813,"-126.4498, 50.298133"
20220824,"-115.195083, 49.408033"
20220811,"-117.336083, 49.59425"
20220913,"-120.312117, 55.381383"
20220802,"-120.91265, 49.914967"
20220819,"-119.370883, 52.769917"
20220720,"-119.5984, 51.406"
20220715,"-123.149, 49.84845"
20220409,"-115.238667, 49.40215"
20220505,"-119.495533, 49.467933"
20220813,"-120.799983, 50.793483"
20220930,"-123.198666, 48.782733"
20221001,"-122.69045, 49.30035"
20220927,"-125.29345, 50.0677"
20220728,"-122.49475, 53.006117"
20220822,"-123.641333, 54.716833"
20221001,"-117.382033, 49.062867"
20220726,"-125.666185, 57.46891"
20220903,"-123.90745, 49.030583"
20220826,"-119.83125, 51.037583"
20220804,"-119.5108, 51.191"
20220826,"-117.166883, 49.625333"
20220723,"-117.503067, 49.571017"
20220804,"-119.799467, 50.766283"
20220823,"-117.138783, 49.391617"
20220813,"-126.679083, 54.352617"
20220702,"-134.117533, 59.999083"
